Name I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph rmsre 
MEAN 1.76605E-05 4.88026E+00 3.82528E+04 8.62261E-04 2.66469E+00 4.13813E+02 8.96591E+01 1.04911E-03 1.00169E-01
MEDIAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42874E+00 3.61374E+02 9.99915E+01 1.05000E-03 9.95037E-02
STD 6.78709E-06 3.72693E-01 1.43101E+05 2.07871E-04 1.03168E+00 3.40682E+02 2.82531E+01 3.18981E-06 1.90530E-03
IQR 3.00000E-14 2.00000E-09 2.00000E-05 1.35000E-12 5.00000E-09 9.50000E-07 1.75000E-07 0.00000E+00 0.00000E+00
ADELI % % % % % % % % %
MEAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42874E+00 3.61374E+02 9.99915E+01 1.05000E-03 9.95037E-02
MEDIAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42874E+00 3.61374E+02 9.99915E+01 1.05000E-03 9.95037E-02
STD 1.76302E-14 1.29645E-09 1.54869E-05 8.07922E-13 4.86000E-09 5.93461E-07 1.07962E-07 6.56994E-19 4.20476E-17
IQR 3.00000E-14 2.00000E-09 2.00000E-05 1.25000E-12 7.50000E-09 9.00000E-07 1.55000E-07 0.00000E+00 0.00000E+00
NDE % % % % % % % % %
MEAN 2.14512E-05 4.81662E+00 1.04285E+04 1.14885E-03 6.32159E+00 1.36983E+03 7.88813E+01 1.10430E-03 2.34604E-01
MEDIAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42932E+00 3.61374E+02 9.99893E+01 1.05000E-03 9.95046E-02
STD 3.70972E-05 1.67544E+00 6.54716E+03 1.22991E-03 6.91420E+00 3.79787E+03 3.39401E+01 1.54948E-04 3.51097E-01
IQR 4.48012E-06 3.07542E-01 3.79454E+03 3.58447E-04 4.86176E+00 2.12881E+02 4.00536E+01 4.36090E-06 2.15188E-05
MABC % % % % % % % % %
MEAN 2.30593E-05 4.20685E+00 5.03637E+04 9.30677E-04 7.43217E+00 9.34217E+02 6.84413E+01 1.15569E-03 2.03232E-01
MEDIAN 3.56101E-06 3.58582E+00 3.21006E+03 4.51102E-04 3.12914E+00 2.41633E+02 2.99907E+01 1.07626E-03 1.16524E-01
STD 5.84140E-05 2.65468E+00 1.56967E+05 1.44826E-03 8.28260E+00 2.76505E+03 7.66201E+01 4.11432E-04 2.55094E-01
IQR 2.23295E-05 3.10343E+00 1.00377E+04 1.06199E-03 9.60657E+00 1.87791E+02 1.19346E+02 9.81028E-05 4.82567E-02
TLBO % % % % % % % % %
MEAN 1.56730E-05 4.76234E+00 1.08441E+04 1.03596E-03 3.20617E+00 3.32055E+03 9.26285E+01 1.04986E-03 9.95092E-02
MEDIAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42874E+00 3.61374E+02 9.99915E+01 1.05000E-03 9.95037E-02
STD 3.25043E-06 2.51594E-01 2.68810E+03 3.74343E-04 1.95642E+00 9.48578E+03 2.73570E+01 3.85660E-06 2.34852E-05
IQR 6.50000E-14 4.50000E-09 5.00000E-05 2.55000E-12 1.40000E-08 1.95000E-06 3.90000E-07 1.00000E-12 5.79900E-08
GOTLBO % % % % % % % % %
MEAN 8.54154E-05 6.75483E+00 7.62391E+04 9.60102E-04 1.30100E+01 8.50839E+02 3.61071E+01 1.12442E-03 3.83567E-01
MEDIAN 1.65454E-05 5.07993E+00 7.12981E+03 5.27489E-05 1.21436E+01 1.72948E+02 4.66429E+00 1.10108E-03 3.10471E-01
STD 1.20562E-04 4.04633E+00 2.03734E+05 1.92009E-03 9.04385E+00 2.68740E+03 5.87908E+01 1.02163E-04 2.63264E-01
IQR 1.53143E-04 6.63110E+00 3.53413E+04 1.08914E-03 1.34751E+01 1.86087E+02 4.67860E+01 6.56280E-05 4.41560E-01
STLBO % % % % % % % % %
MEAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42874E+00 3.61374E+02 9.99915E+01 1.05000E-03 9.95037E-02
MEDIAN 1.50032E-05 4.73254E+00 1.00036E+04 8.79718E-04 2.42874E+00 3.61374E+02 9.99915E+01 1.05000E-03 9.95037E-02
STD 2.22781E-14 1.63515E-09 2.00841E-05 1.16780E-12 6.68085E-09 8.41544E-07 1.40198E-07 2.37635E-13 4.20476E-17
IQR 3.00000E-14 2.50000E-09 3.00000E-05 1.65000E-12 1.00000E-08 1.25000E-06 2.00000E-07 0.00000E+00 0.00000E+00
PSO % % % % % % % % %
MEAN 7.25675E-05 5.02539E+00 5.11025E+05 3.33443E-03 1.95109E+01 1.39492E+04 1.45821E+02 1.28303E-02 4.38373E-01
MEDIAN 3.23114E-06 3.46955E+00 5.06623E+05 2.10611E-04 3.00000E+01 1.24223E+02 1.35643E+02 1.04811E-03 1.28175E-01
STD 2.41560E-04 6.45878E+00 5.03626E+05 4.30218E-03 1.29049E+01 2.24223E+04 1.40544E+02 2.67301E-02 6.33459E-01
IQR 9.41973E-06 2.62292E+00 9.98589E+05 1.00000E-02 2.78744E+01 4.99897E+04 2.34377E+02 1.68255E-04 3.61187E-02
IJAYA % % % % % % % % %
MEAN 1.43859E-05 4.46263E+00 3.48681E+04 1.30829E-03 7.82133E+00 1.91100E+03 3.77466E+01 1.06194E-03 1.05522E-01
MEDIAN 1.24540E-05 4.57213E+00 5.25571E+03 1.14765E-03 7.56814E+00 6.10271E+02 7.61560E+00 1.05579E-03 1.01940E-01
STD 1.05876E-05 9.28048E-01 1.24185E+05 5.39619E-04 4.34077E+00 5.55987E+03 5.83388E+01 2.29665E-05 8.17914E-03
IQR 1.75718E-05 1.44702E+00 1.39039E+04 8.14092E-04 6.11684E+00 6.08394E+02 4.41557E+01 3.08393E-05 7.09278E-03
ISCA % % % % % % % % %
MEAN 1.50131E-04 8.89807E+00 1.05563E+05 1.66180E-03 1.26885E+01 1.02562E+03 1.85482E+01 1.16642E-03 6.40744E-01
MEDIAN 1.02769E-04 8.64490E+00 8.75361E+03 2.95090E-04 1.20682E+01 1.60420E+02 3.87085E+00 1.13401E-03 6.56746E-01
STD 1.46524E-04 4.20787E+00 2.05815E+05 2.57694E-03 7.86932E+00 2.84644E+03 2.83567E+01 1.02773E-04 2.73669E-01
IQR 2.03003E-04 6.41871E+00 9.58805E+04 2.42769E-03 1.25917E+01 2.60129E+02 1.85336E+01 1.35898E-04 4.19912E-01
NNA % % % % % % % % %
MEAN 1.26054E-04 9.98644E+00 3.29076E+04 7.01347E-04 1.53889E+01 3.75533E+02 2.62488E+01 1.82813E-03 8.34411E-01
MEDIAN 2.01088E-05 7.29681E+00 2.34230E+03 1.62772E-06 1.44230E+01 1.02973E+02 1.74503E+00 1.16825E-03 7.94328E-01
STD 1.96453E-04 7.54130E+00 1.04300E+05 2.00796E-03 8.35224E+00 1.19007E+03 5.34795E+01 3.35504E-03 4.65190E-01
IQR 2.19288E-04 1.02398E+01 1.93101E+04 7.10653E-05 1.34784E+01 1.88704E+02 2.92703E+01 3.06791E-04 5.98379E-01
CWOA % % % % % % % % %
MEAN 3.07406E-04 1.16799E+01 8.55418E+04 2.30518E-03 1.55286E+01 3.57714E+03 8.52064E+01 1.13903E-02 9.48378E-01
MEDIAN 2.08594E-05 5.76655E+00 1.40068E+03 1.47191E-05 1.56516E+01 2.52279E+02 8.12653E+00 1.26817E-03 9.98901E-01
STD 4.19368E-04 1.02479E+01 2.70365E+05 3.71354E-03 1.05186E+01 1.18680E+04 1.22897E+02 2.46765E-02 7.48635E-01
IQR 6.88717E-04 1.71049E+01 4.39332E+03 2.28832E-03 2.06732E+01 3.39655E+02 1.50975E+02 5.18315E-03 1.65244E+00
WW % % % % % % % % %
MEAN 2.75714E-04 1.09139E+01 2.74259E+05 4.00199E-03 1.03581E+01 5.08693E+03 5.04411E+01 1.38793E-03 8.71434E-01
MEDIAN 9.77243E-05 8.34191E+00 7.01043E+03 1.64437E-03 7.66904E+00 1.07109E+02 1.62179E+01 1.18914E-03 8.46548E-01
STD 3.45977E-04 7.80210E+00 4.31976E+05 4.22991E-03 1.00880E+01 1.49616E+04 6.79048E+01 9.43810E-04 4.00295E-01
IQR 4.33127E-04 1.11635E+01 6.58580E+05 9.77137E-03 1.61542E+01 1.93634E+02 9.05761E+01 2.32756E-04 6.04344E-01
