  i	       x(um)	        y	      Ec(eV)	      Fn(eV)	      Fp(eV)	      Ev(eV)	     n(/cm3)	     p(/cm3)	rho(defect) (/cm3)	net doping (/cm3)	   rho(/cm3)	     E(V/cm)	  jn(mA/cm2)	  jp(mA/cm2)	  jn_tunnel(mA/cm2)	  jp_tunnel(mA/cm2)	jtot(mA/cm2)	 generation(#/cm3.s)	  recombination(#/cm3.s)	cumulative generation (mA/cm2)	cumulative recombination L to R (mA/cm2)	cumulative recombination R to L (mA/cm2)
 193	      17.748971	     0.00000000	     0.73886644	     0.08654572	    -0.00000571	    -0.35912756	   7.76819960e+09	   1.47397812e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98526100e+16	  -7.03243424e+04	  -2.39204879e+01	  -4.75970522e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.46124496e+20	    1.22336844e+08	   7.50956248e+00	    1.57314136e+00	    2.74400042e+00
 194	      17.749156	     0.00000000	     0.73755895	     0.08591884	    -0.00000572	    -0.36043505	   7.95042360e+09	   1.40976420e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98590315e+16	  -7.06060582e+04	  -2.39227297e+01	  -4.75746343e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.46331715e+20	    1.17156387e+08	   7.50734431e+00	    1.57314136e+00	    2.74400042e+00
 195	      17.749316	     0.00000000	     0.73643209	     0.08539214	    -0.00000574	    -0.36156191	   8.11465372e+09	   1.35667000e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98643411e+16	  -7.08479726e+04	  -2.39246534e+01	  -4.75553968e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.46509756e+20	    1.12965373e+08	   7.50543914e+00	    1.57314136e+00	    2.74400042e+00
 196	      17.749455	     0.00000000	     0.73544355	     0.08494038	    -0.00000575	    -0.36255045	   8.26440973e+09	   1.31174223e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98688340e+16	  -7.10595241e+04	  -2.39263346e+01	  -4.75385848e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.46665525e+20	    1.09484146e+08	   7.50377280e+00	    1.57314136e+00	    2.74400042e+00
 197	      17.749579	     0.00000000	     0.73455915	     0.08454430	    -0.00000576	    -0.36343485	   8.40304549e+09	   1.27281006e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98727274e+16	  -7.12482643e+04	  -2.39278337e+01	  -4.75235939e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.46804557e+20	    1.06515711e+08	   7.50228591e+00	    1.57314136e+00	    2.74400042e+00
 198	      17.749693	     0.00000000	     0.73375060	     0.08418883	    -0.00000577	    -0.36424340	   8.53375530e+09	   1.23822906e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98761856e+16	  -7.14203861e+04	  -2.39292002e+01	  -4.75099287e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.46931396e+20	    1.03916530e+08	   7.50092975e+00	    1.57314136e+00	    2.74400042e+00
 199	      17.749799	     0.00000000	     0.73299368	     0.08386177	    -0.00000578	    -0.36500032	   8.65964759e+09	   1.20670780e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98793379e+16	  -7.15811494e+04	  -2.39304763e+01	  -4.74971680e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47049907e+20	    1.01578012e+08	   7.49966292e+00	    1.57314136e+00	    2.74400042e+00
 200	      17.749900	     0.00000000	     0.73226659	     0.08355277	    -0.00000579	    -0.36572741	   8.78387351e+09	   1.17718478e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98822903e+16	  -7.17352418e+04	  -2.39316995e+01	  -4.74849362e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47163538e+20	    9.94142512e+07	   7.49844850e+00	    1.57314136e+00	    2.74400042e+00
 201	      17.750000	     0.00000000	     0.73154847	     0.08325253	    -0.00000579	    -0.36644553	   8.90981390e+09	   1.14873543e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98851354e+16	  -7.18871092e+04	  -2.39323024e+01	  -4.74789075e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47275567e+20	    9.73534121e+07	   7.49725145e+00	    1.57314136e+00	    2.74400042e+00
 202	      17.750000	    -0.00000000	     0.73154847	     0.04505454	    -0.00000646	    -0.38142453	   2.42501156e+09	   7.21339968e+13	   0.00000000e+00	   1.10000000e+15	   1.17213157e+15	  -7.18871142e+04	  -2.39334995e+01	  -4.74669364e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47275567e+20	    1.74898144e+07	   7.49725145e+00	    1.57314136e+00	    2.74400042e+00
 203	      17.750100	     0.00025641	     0.73082961	     0.04449821	    -0.00000647	    -0.38213677	   2.43847659e+09	   7.04047803e+13	   0.00000000e+00	   1.10765111e+15	   1.17805345e+15	  -7.18853230e+04	  -2.39341000e+01	  -4.74609313e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47289248e+20	    1.69822371e+07	   7.49605430e+00	    1.57314136e+00	    2.74400042e+00
 204	      17.750201	     0.00051447	     0.73010613	     0.04394130	    -0.00000648	    -0.38285360	   2.45235352e+09	   6.87063088e+13	   0.00000000e+00	   1.11540528e+15	   1.18410914e+15	  -7.18835156e+04	  -2.39353087e+01	  -4.74488445e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47303030e+20	    1.64879074e+07	   7.49484942e+00	    1.57314136e+00	    2.74400042e+00
 205	      17.750303	     0.00077744	     0.72936892	     0.04337695	    -0.00000649	    -0.38358403	   2.46683809e+09	   6.70177372e+13	   0.00000000e+00	   1.12336271e+15	   1.19037798e+15	  -7.18816643e+04	  -2.39365403e+01	  -4.74365280e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47317089e+20	    1.60006082e+07	   7.49362160e+00	    1.57314136e+00	    2.74400042e+00
 206	      17.750409	     0.00104860	     0.72860877	     0.04279840	    -0.00000650	    -0.38433719	   2.48214636e+09	   6.53200822e+13	   0.00000000e+00	   1.13162735e+15	   1.19694495e+15	  -7.18797450e+04	  -2.39378104e+01	  -4.74238270e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47331599e+20	    1.55148590e+07	   7.49235553e+00	    1.57314136e+00	    2.74400042e+00
 207	      17.750519	     0.00133140	     0.72781602	     0.04219870	    -0.00000652	    -0.38512265	   2.49852541e+09	   6.35954034e+13	   0.00000000e+00	   1.14031151e+15	   1.20390441e+15	  -7.18777319e+04	  -2.39391352e+01	  -4.74105788e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47346748e+20	    1.50256614e+07	   7.49103509e+00	    1.57314136e+00	    2.74400042e+00
 208	      17.750636	     0.00162959	     0.72698014	     0.04157051	    -0.00000653	    -0.38595083	   2.51626606e+09	   6.18261994e+13	   0.00000000e+00	   1.14954054e+15	   1.21136423e+15	  -7.18755966e+04	  -2.39405325e+01	  -4.73966064e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47362738e+20	    1.45283216e+07	   7.48964275e+00	    1.57314136e+00	    2.74400042e+00
 209	      17.750759	     0.00194736	     0.72608938	     0.04090579	    -0.00000655	    -0.38683340	   2.53571858e+09	   5.99949730e+13	   0.00000000e+00	   1.15945808e+15	   1.21945051e+15	  -7.18733063e+04	  -2.39420219e+01	  -4.73817122e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47379798e+20	    1.40183338e+07	   7.48815892e+00	    1.57314136e+00	    2.74400042e+00
 210	      17.750893	     0.00228951	     0.72513032	     0.04019566	    -0.00000657	    -0.38778363	   2.55731296e+09	   5.80839471e+13	   0.00000000e+00	   1.17023197e+15	   1.22831336e+15	  -7.18708232e+04	  -2.39436260e+01	  -4.73656707e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47398189e+20	    1.34913161e+07	   7.48656123e+00	    1.57314136e+00	    2.74400042e+00
 211	      17.751038	     0.00266158	     0.72408746	     0.03943009	    -0.00000659	    -0.38881690	   2.58158554e+09	   5.60749391e+13	   0.00000000e+00	   1.18206147e+15	   1.23813382e+15	  -7.18681024e+04	  -2.39453710e+01	  -4.73482208e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47418213e+20	    1.29429978e+07	   7.48482382e+00	    1.57314136e+00	    2.74400042e+00
 212	      17.751197	     0.00307004	     0.72294263	     0.03859774	    -0.00000661	    -0.38995120	   2.60921501e+09	   5.39494149e+13	   0.00000000e+00	   1.19518590e+15	   1.24913271e+15	  -7.18650902e+04	  -2.39472874e+01	  -4.73290573e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47440227e+20	    1.23692643e+07	   7.48291639e+00	    1.57314136e+00	    2.74400042e+00
 213	      17.751374	     0.00352254	     0.72167442	     0.03768575	    -0.00000664	    -0.39120773	   2.64107174e+09	   5.16887701e+13	   0.00000000e+00	   1.20989552e+15	   1.26158165e+15	  -7.18617218e+04	  -2.39494111e+01	  -4.73078203e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47464651e+20	    1.17662648e+07	   7.48080325e+00	    1.57314136e+00	    2.74400042e+00
 214	      17.751571	     0.00402812	     0.72025751	     0.03667956	    -0.00000667	    -0.39261161	   2.67828690e+09	   4.92748985e+13	   0.00000000e+00	   1.22654507e+15	   1.27581729e+15	  -7.18579182e+04	  -2.39517847e+01	  -4.72840836e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47491987e+20	    1.11305973e+07	   7.47844213e+00	    1.57314136e+00	    2.74400042e+00
 215	      17.751793	     0.00459754	     0.71866179	     0.03556285	    -0.00000671	    -0.39419264	   2.72235090e+09	   4.66911230e+13	   0.00000000e+00	   1.24557115e+15	   1.29225955e+15	  -7.18535826e+04	  -2.39544590e+01	  -4.72573411e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47522832e+20	    1.04595783e+07	   7.47578280e+00	    1.57314136e+00	    2.74400042e+00
 216	      17.752045	     0.00524356	     0.71685151	     0.03431754	    -0.00000675	    -0.39598625	   2.77525639e+09	   4.39235725e+13	   0.00000000e+00	   1.26751456e+15	   1.31143536e+15	  -7.18485955e+04	  -2.39574940e+01	  -4.72269913e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47557900e+20	    9.75160636e+06	   7.47276556e+00	    1.57314136e+00	    2.74400042e+00
 217	      17.752333	     0.00598138	     0.71478415	     0.03292410	    -0.00000681	    -0.39803459	   2.83971019e+09	   4.09630739e+13	   0.00000000e+00	   1.29304935e+15	   1.33400959e+15	  -7.18428084e+04	  -2.39609612e+01	  -4.71923191e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47598047e+20	    9.00661772e+06	   7.46931941e+00	    1.57314136e+00	    2.74400042e+00
 218	      17.752663	     0.00682904	     0.71240922	     0.03136210	    -0.00000687	    -0.40038765	   2.91945427e+09	   3.78075899e+13	   0.00000000e+00	   1.32302116e+15	   1.36082584e+15	  -7.18360357e+04	  -2.39649456e+01	  -4.71524751e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47644296e+20	    8.22661364e+06	   7.46535999e+00	    1.57314136e+00	    2.74400042e+00
 219	      17.753045	     0.00780793	     0.70966691	     0.02961140	    -0.00000696	    -0.40310471	   3.01976305e+09	   3.44651527e+13	   0.00000000e+00	   1.35849833e+15	   1.39296046e+15	  -7.18280433e+04	  -2.39695478e+01	  -4.71064529e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47697871e+20	    7.41621682e+06	   7.46078731e+00	    1.57314136e+00	    2.74400042e+00
 220	      17.753488	     0.00894333	     0.70648655	     0.02765398	    -0.00000707	    -0.40625580	   3.14823375e+09	   3.09570973e+13	   0.00000000e+00	   1.40084099e+15	   1.43179494e+15	  -7.18185342e+04	  -2.39748868e+01	  -4.70530632e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47760233e+20	    6.58317792e+06	   7.45548313e+00	    1.57314136e+00	    2.74400042e+00
 221	      17.754003	     0.01026500	     0.70278492	     0.02547699	    -0.00000721	    -0.40992334	   3.31607651e+09	   2.73211922e+13	   0.00000000e+00	   1.45179582e+15	   1.47911369e+15	  -7.18071274e+04	  -2.39811026e+01	  -4.69909053e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47833125e+20	    5.73871714e+06	   7.44930815e+00	    1.57314136e+00	    2.74400042e+00
 222	      17.754605	     0.01180787	     0.69846455	     0.02307705	    -0.00000740	    -0.41420392	   3.54028339e+09	   2.36139977e+13	   0.00000000e+00	   1.51362790e+15	   1.53723836e+15	  -7.17933292e+04	  -2.39883594e+01	  -4.69183372e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.47918621e+20	    4.89755524e+06	   7.44209896e+00	    1.57314136e+00	    2.74400042e+00
 223	      17.755309	     0.01361268	     0.69341178	     0.02046616	    -0.00000766	    -0.41921014	   3.84739391e+09	   1.99115151e+13	   0.00000000e+00	   1.58930717e+15	   1.60921484e+15	  -7.17764923e+04	  -2.39968488e+01	  -4.68334433e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.48019183e+20	    4.07748043e+06	   7.43366481e+00	    1.57314136e+00	    2.74400042e+00
 224	      17.756133	     0.01572667	     0.68749496	     0.01767897	    -0.00000802	    -0.42507243	   4.28026620e+09	   1.63070217e+13	   0.00000000e+00	   1.68277642e+15	   1.69907916e+15	  -7.17557567e+04	  -2.40067929e+01	  -4.67340021e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.48137726e+20	    3.29833119e+06	   7.42378436e+00	    1.57314136e+00	    2.74400042e+00
 225	      17.757100	     0.01820428	     0.68056264	     0.01478002	    -0.00000856	    -0.43194086	   4.91073180e+09	   1.29050997e+13	   0.00000000e+00	   1.79934315e+15	   1.81224334e+15	  -7.17299629e+04	  -2.40184477e+01	  -4.66174539e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.48277688e+20	    2.58036295e+06	   7.41220239e+00	    1.57314136e+00	    2.74400042e+00
 226	      17.758232	     0.02110777	     0.67244197	     0.01186827	    -0.00000936	    -0.43998665	   5.86427366e+09	   9.81143641e+12	   0.00000000e+00	   1.94626297e+15	   1.95606854e+15	  -7.16975231e+04	  -2.40321060e+01	  -4.64808714e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.48443117e+20	    1.94210803e+06	   7.39862679e+00	    1.57314136e+00	    2.74400042e+00
 227	      17.759558	     0.02450776	     0.66293753	     0.00907403	    -0.00001063	    -0.44940340	   7.37045667e+09	   7.11912530e+12	   0.00000000e+00	   2.13362433e+15	   2.14073609e+15	  -7.16562247e+04	  -2.40480997e+01	  -4.63209337e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.48638760e+20	    1.39800944e+06	   7.38272595e+00	    1.57314136e+00	    2.74400042e+00
 228	      17.761109	     0.02848358	     0.65183064	     0.00654194	    -0.00001273	    -0.46037082	   9.87101721e+09	   4.89993520e+12	   0.00000000e+00	   2.36967013e+15	   2.37456019e+15	  -7.16029988e+04	  -2.40668038e+01	  -4.61338926e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.48985725e+20	    9.56104881e+05	   7.36412537e+00	    1.57314136e+00	    2.74400042e+00
 229	      17.762918	     0.03312346	     0.63887962	     0.00440241	    -0.00001640	    -0.47314190	   1.42666637e+10	   3.17169458e+12	   0.00000000e+00	   2.67518695e+15	   2.67834438e+15	  -7.15334870e+04	  -2.40886369e+01	  -4.59155617e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.49448589e+20	    6.16689388e+05	   7.34240630e+00	    1.57314136e+00	    2.74400042e+00
 230	      17.765025	     0.03852438	     0.62382112	     0.00273838	    -0.00002326	    -0.48799094	   2.25164044e+10	   1.91291298e+12	   0.00000000e+00	   3.08076715e+15	   3.08265754e+15	  -7.14412348e+04	  -2.41140594e+01	  -4.56613371e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.49993248e+20	    3.72655812e+05	   7.31710779e+00	    1.57314136e+00	    2.74400042e+00
 231	      17.767469	     0.04479161	     0.60637331	     0.00156051	    -0.00003703	    -0.50519570	   3.91939900e+10	   1.06499477e+12	   0.00000000e+00	   3.62908297e+15	   3.63010877e+15	  -7.13164999e+04	  -2.41435719e+01	  -4.53662125e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.50633086e+20	    2.10620145e+05	   7.28772821e+00	    1.57314136e+00	    2.74400042e+00
 232	      17.770295	     0.05203775	     0.58624134	     0.00080850	    -0.00006704	    -0.52503766	   7.58496704e+10	   5.42277548e+11	   0.00000000e+00	   4.37940239e+15	   4.37986882e+15	  -7.11444126e+04	  -2.41777127e+01	  -4.50248038e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.51411666e+20	    1.13826625e+05	   7.25372760e+00	    1.57314136e+00	    2.74400042e+00
 233	      17.773549	     0.06038129	     0.56312636	     0.00037799	    -0.00013865	    -0.54772986	   1.64278152e+11	   2.50923216e+11	   0.00000000e+00	   5.35980675e+15	   5.35989340e+15	  -7.09034725e+04	  -2.42170598e+01	  -4.46313328e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.52603349e+20	    6.67593479e+04	   7.21452640e+00	    1.57314136e+00	    2.74400042e+00
 234	      17.777278	     0.06994459	     0.53673826	     0.00015839	    -0.00032725	    -0.57363336	   4.00639057e+11	   1.04490924e+11	   0.00000000e+00	   6.75630922e+15	   6.75601307e+15	  -7.05599349e+04	  -2.42622172e+01	  -4.41797586e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.53990881e+20	    6.28936208e+04	   7.16951721e+00	    1.57314136e+00	    2.74400042e+00
 235	      17.781532	     0.08085128	     0.50681776	     0.00005919	    -0.00087736	    -0.60294854	   1.10655151e+12	   3.92182050e+10	   0.00000000e+00	   8.76310761e+15	   8.76204027e+15	  -7.00581231e+04	  -2.43065020e+01	  -4.37369109e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.55770412e+20	    1.23448700e+05	   7.11807752e+00	    1.57314136e+00	    2.74400042e+00
 236	      17.783944	     0.08703714	     0.48995509	     0.00003409	    -0.00152757	    -0.61941483	   1.96376804e+12	   2.28813839e+10	   0.00000000e+00	   1.01150352e+16	   1.01130943e+16	  -6.97119438e+04	  -2.43413070e+01	  -4.33888609e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.56967380e+20	    2.10665405e+05	   7.08884533e+00	    1.57314136e+00	    2.74400042e+00
 237	      17.786357	     0.09322301	     0.47318192	     0.00001973	    -0.00263501	    -0.63579163	   3.47571074e+12	   1.36008454e+10	   0.00000000e+00	   1.16755313e+16	   1.16720692e+16	  -6.93123930e+04	  -2.43715218e+01	  -4.30867131e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.58177180e+20	    3.73022130e+05	   7.05956664e+00	    1.57314136e+00	    2.74400042e+00
 238	      17.789078	     0.10019933	     0.45438933	     0.00001072	    -0.00478371	    -0.65413720	   6.59104590e+12	   7.83297442e+09	   0.00000000e+00	   1.37261275e+16	   1.37195442e+16	  -6.87871898e+04	  -2.44036622e+01	  -4.27653094e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.59555882e+20	    7.30965985e+05	   7.02649019e+00	    1.57314136e+00	    2.74400042e+00
 239	      17.791799	     0.10717565	     0.43575116	     0.00000588	    -0.00842192	    -0.67228342	   1.24348907e+13	   4.77831581e+09	   0.00000000e+00	   1.59924709e+16	   1.59800407e+16	  -6.81728800e+04	  -2.44378048e+01	  -4.24238831e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.61096827e+20	    1.48378911e+06	   6.99335010e+00	    1.57314136e+00	    2.74400042e+00
 240	      17.794848	     0.11499530	     0.41507371	     0.00000304	    -0.01504314	    -0.69238363	   2.51496080e+13	   3.01889212e+09	   0.00000000e+00	   1.88826131e+16	   1.88574665e+16	  -6.73651891e+04	  -2.44740309e+01	  -4.20616224e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.62928932e+20	    3.49492621e+06	   6.95612149e+00	    1.57314136e+00	    2.74400042e+00
 241	      17.797898	     0.12281496	     0.39466292	     0.00000159	    -0.02494386	    -0.71221718	   5.04075749e+13	   2.15222358e+09	   0.00000000e+00	   2.22950587e+16	   2.22446533e+16	  -6.64122562e+04	  -2.45124113e+01	  -4.16778182e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.64784344e+20	    9.04542889e+06	   6.91880279e+00	    1.57314136e+00	    2.74400042e+00
 242	      17.801294	     0.13152341	     0.37230240	     0.00000079	    -0.03971557	    -0.73389692	   1.07973427e+14	   1.70090601e+09	   0.00000000e+00	   2.67360953e+16	   2.66281236e+16	  -6.51503739e+04	  -2.45530208e+01	  -4.12717232e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.67001461e+20	    2.96339338e+07	   6.87713156e+00	    1.57314136e+00	    2.74400042e+00
 243	      17.804690	     0.14023187	     0.35040890	     0.00000041	    -0.05741010	    -0.75504802	   2.27632584e+14	   1.51195497e+09	   0.00000000e+00	   3.18874454e+16	   3.16598143e+16	  -6.36453946e+04	  -2.45959300e+01	  -4.08426310e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.69452217e+20	    1.08880479e+08	   6.83533334e+00	    1.57314136e+00	    2.74400042e+00
 244	      17.808447	     0.14986473	     0.32683818	     0.00000020	    -0.07881569	    -0.77779753	   5.08123983e+14	   1.44429210e+09	   0.00000000e+00	   3.87493404e+16	   3.82412179e+16	  -6.16489847e+04	  -2.46412106e+01	  -4.03898250e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.72201057e+20	    4.94771235e+08	   6.78894174e+00	    1.57314136e+00	    2.74400042e+00
 245	      17.812204	     0.15949760	     0.30408810	     0.00000011	    -0.10086680	    -0.79971511	   1.10297328e+15	   1.45087774e+09	   0.00000000e+00	   4.63995629e+16	   4.52965911e+16	  -5.92631012e+04	  -2.46889173e+01	  -3.99127580e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.75030510e+20	    2.28163692e+09	   6.74238228e+00	    1.57314136e+00	    2.74400042e+00
 246	      17.816330	     0.17007816	     0.28022002	     0.00000006	    -0.12486570	    -0.82266003	   2.48715135e+15	   1.50392036e+09	   0.00000000e+00	   5.59130607e+16	   5.34259108e+16	  -5.61661425e+04	  -2.47391091e+01	  -3.94108401e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.78221496e+20	    1.18131828e+10	   6.69104325e+00	    1.57314136e+00	    2.74400042e+00
 247	      17.820457	     0.18065872	     0.25773510	     0.00000004	    -0.14807797	    -0.84419004	   5.35026530e+15	   1.59262888e+09	   0.00000000e+00	   6.75585330e+16	   6.22082693e+16	  -5.25386587e+04	  -2.47918318e+01	  -3.88836127e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.81572700e+20	    5.70908742e+10	   6.63948798e+00	    1.57314136e+00	    2.74400042e+00
 248	      17.824956	     0.19219562	     0.23505334	     0.00000002	    -0.17202403	    -0.86555263	   1.15867354e+16	   1.73915407e+09	   0.00000000e+00	   8.50155925e+16	   7.34288588e+16	  -4.78990844e+04	  -2.48471682e+01	  -3.83302495e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.86230606e+20	    2.84210788e+11	   6.58298419e+00	    1.57314136e+00	    2.74400042e+00
 249	      17.829456	     0.20373251	     0.21463178	     0.00000002	    -0.19426310	    -0.88465501	   2.32330458e+16	   1.93529297e+09	   0.00000000e+00	   1.06983539e+17	   8.37504953e+16	  -4.25226414e+04	  -2.49000407e+01	  -3.78015244e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.90973279e+20	    1.23735578e+12	   6.52614160e+00	    1.57314136e+00	    2.74400042e+00
 250	      17.832702	     0.21205596	     0.20149923	     0.00000001	    -0.20913491	    -0.89685506	   3.63418942e+16	   2.11970991e+09	   0.00000000e+00	   1.23729241e+17	   8.73873490e+16	  -3.82992612e+04	  -2.49452329e+01	  -3.73496020e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.94394789e+20	    3.18576116e+12	   6.48491945e+00	    1.57314136e+00	    2.74400042e+00
 251	      17.835948	     0.22037941	     0.18976678	     0.00000001	    -0.22286756	    -0.90765888	   5.41993221e+16	   2.34212244e+09	   0.00000000e+00	   1.42509156e+17	   8.83098361e+16	  -3.39633646e+04	  -2.49866338e+01	  -3.69355924e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.97850131e+20	    7.49091911e+12	   6.44351848e+00	    1.57314136e+00	    2.74400042e+00
 252	      17.839194	     0.22870286	     0.17944922	     0.00000001	    -0.23544192	    -0.91704782	   7.70275976e+16	   2.61059343e+09	   0.00000000e+00	   1.64139530e+17	   8.71119350e+16	  -2.96342648e+04	  -2.50345788e+01	  -3.64561432e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.01352400e+20	    1.61365721e+13	   6.40193661e+00	    1.57314136e+00	    2.74400042e+00
 253	      17.844423	     0.24210995	     0.16576476	     0.00000001	    -0.25319446	    -0.92967886	   1.22775995e+17	   3.10823531e+09	   0.00000000e+00	   1.90534475e+17	   6.77584828e+16	  -2.34780538e+04	  -2.50955171e+01	  -3.58467609e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.05558431e+20	    4.48676094e+13	   6.33463533e+00	    1.57314136e+00	    2.74400041e+00
 254	      17.849652	     0.25551704	     0.15489698	     0.00000001	    -0.26826120	    -0.93957383	   1.77789716e+17	   3.70708292e+09	   0.00000000e+00	   2.18032882e+17	   4.02431696e+16	  -1.91849101e+04	  -2.51823317e+01	  -3.49786137e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.09572693e+20	    1.02900313e+14	   6.26698977e+00	    1.57314137e+00	    2.74400041e+00
 255	      17.860793	     0.28408346	     0.13732059	     0.00000001	    -0.29310948	    -0.95359617	   3.23561233e+17	   5.36051465e+09	   0.00000000e+00	   3.41584073e+17	   1.80228459e+16	  -1.42499692e+04	  -2.53110027e+01	  -3.36919044e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.23736951e+20	    2.94781278e+14	   6.12123539e+00	    1.57314141e+00	    2.74400037e+00
 256	      17.872566	     0.31427099	     0.12244304	     0.00000001	    -0.31296420	    -0.96420344	   5.37125670e+17	   7.34558169e+09	   0.00000000e+00	   5.53166004e+17	   1.60403416e+16	  -1.12012083e+04	  -2.54678548e+01	  -3.21233832e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.41440758e+20	    7.41303519e+14	   5.96420447e+00	    1.57314150e+00	    2.74400027e+00
 257	      17.884905	     0.34590952	     0.11047845	     0.00000000	    -0.32923202	    -0.97233965	   8.07415053e+17	   9.69028697e+09	   0.00000000e+00	   8.17292558e+17	   9.87751462e+15	  -8.76997817e+03	  -2.56356457e+01	  -3.04454735e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.58649096e+20	    2.15486961e+15	   5.79617505e+00	    1.57314179e+00	    2.74399999e+00
